,name,winPlace,kills,Map,Time
78,L2K Denzel169,23,0,Erangel_Main,2019-03-03T18:16:13Z
79,KnightFox66,16,0,Erangel_Main,2019-03-03T18:16:13Z
80,KSA Sinless96,1,3,Erangel_Main,2019-03-03T18:16:13Z
81,II Benn XD,22,0,Erangel_Main,2019-03-03T18:16:13Z
82,DirtMcGirt9484,13,0,Erangel_Main,2019-03-03T18:16:13Z
83,BradenAwesome22,6,3,Erangel_Main,2019-03-03T18:16:13Z
84,BLACKNIGHT001,13,1,Erangel_Main,2019-03-03T18:16:13Z
85,lookbehindyou9,3,2,Erangel_Main,2019-03-03T18:16:13Z
86,KoTa bwr,12,1,Erangel_Main,2019-03-03T18:16:13Z
87,sithlord12688,19,0,Erangel_Main,2019-03-03T18:16:13Z
88,BLiTz5,24,0,Erangel_Main,2019-03-03T18:16:13Z
89,Higgmundo,14,3,Erangel_Main,2019-03-03T18:16:13Z
